A1971 T3110
A3340 T109
A224 T306
A12669 T340
A2546 T1019
A15740 T74
A94 T1339
A958 T756
A150 T306
A4826 T372
A1404 T381
A228 T78
A2384 T707
A14988 T383
A3000 T823
A10439 T73
A4365 T33
A615 T81
A10512 T78
A252 T102
A2474 T1821
A3802 T9310
A68 T13
A51 T79
A1499 T304
A13182 T123
A12362 T341
A6008 T185
A8208 T560
A4043 T191
A167 T73
A12681 T6523
A6743 T102
A252 T206
A1853 T379
A493 T79
A384 T847
A9900 T144
A251 T24
A7043 T3518
A10428 T296
A1188 T372
A711 T383
A4272 T84
A1019 T844
A1628 T3482
A17013 T13
A7829 T72
A3905 T595
A5035 T127
A6968 T539
A5342 T306
A1405 T956
A909 T609
A7989 T11062
A1054 T24
A3786 T21
A977 T1778
A84 T340
A204 T79
A7659 T728
A1747 T729
A12531 T39
A1183 T195
A2649 T1864
A67 T16
A288 T130
A8456 T1040
A732 T76
A461 T39
A11017 T102
A1068 T16
A3694 T7903
A2589 T185
A869 T917
A15696 T73
A4085 T180
A4197 T82
A1825 T4154
A11119 T81
A7892 T11312
A11484 T102
A710 T2156
A10723 T1434
A1390 T24
A2015 T16
A287 T24
A3541 T201
A2997 T2197
A964 T339
A62 T18
A2586 T18
A784 T130
A7373 T11387
A1097 T79
A7583 T195
A2948 T1807
A13675 T79
A1236 T2833
A1389 T39
A6049 T14
A347 T39
A1064 T79
A2192 T73
A7889 T238
A45 T7
A8585 T73
A8196 T14
A95 T195
A62 T24
A533 T79
A168 T358
A369 T130
A8041 T10133
A6363 T4409
A1456 T130
A988 T2678
A6008 T185
A372 T79
A418 T292
A13168 T73
A1806 T192
A400 T73
A1865 T72
A2410 T364
A2208 T2304
A10864 T707
A2692 T1800
A6536 T10984
A384 T74
A1426 T39
A84 T24
A4111 T181
A16615 T6536
A4036 T18
A2222 T102
A6167 T78
A207 T5777
A909 T2639
A62 T358
A14961 T102
A58 T1482
A2874 T292
A2061 T4109
A344 T692
A13322 T9697
A429 T1215
A5319 T81
A2568 T309
A6866 T187
A301 T18
A29 T86
A10990 T73
A1664 T73
A1637 T73
A2511 T707
A2006 T6036
A6894 T10475
A704 T192
A168 T306
A6599 T16
A3896 T1935
A4625 T18
A2425 T98
A15506 T521
A210 T7761
A292 T306
A15224 T7
A1542 T372
A7542 T2127
A1223 T181
A1473 T81
A7641 T817
A3467 T6119
A9070 T689
A10015 T14
A83 T21
A9782 T2492
A14832 T7539
A1343 T6469
A232 T14
A1951 T213
A13029 T73
A231 T7444
A201 T3759
A2947 T379
A1143 T309
A7170 T73
A283 T668
A6689 T16
A16082 T73
A221 T79
A571 T10055
A707 T2756
A1542 T1239
A252 T502
A5928 T23
A50 T18
A1548 T24
A787 T39
A573 T823
A5789 T79
A1408 T348
A11851 T10986
A5323 T824
A3897 T1933
A481 T79
A6298 T1805
A3046 T192
A2958 T1564
A6896 T5713
A804 T5
A320 T1618
A1881 T8176
A10256 T184
A3375 T73
A6572 T3979
A228 T802
A602 T381
A7799 T995
A183 T76
A454 T8738
A17166 T187
A1999 T72
A7301 T191
A2055 T7
A5313 T73
A5185 T4990
A13537 T292
A46 T84
A609 T78
A5589 T23
A4247 T3090
A998 T3426
A220 T9680
A7536 T14
A1011 T203
A710 T73
A3905 T24
A2507 T6817
A1601 T4335
A400 T700
A11708 T11292
A1527 T380
A3350 T184
A3122 T10901
A7503 T24
A1964 T78
A2473 T16
A344 T24
A9629 T74
A739 T187
A1293 T74
A9773 T302
A9225 T160
A215 T127
A8394 T605
A215 T192
A1328 T74
A9503 T990
A2586 T13
A12255 T73
A9514 T79
A8916 T213
A5952 T3009
A806 T732
A95 T4591
A847 T1033
A8759 T833
A1880 T879
A941 T76
A14954 T8047
A1569 T39
A1231 T79
A529 T24
A1980 T11558
A10287 T181
A456 T399
A920 T609
